"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url"
"38" "21vCVeinc9agpAM7scu3Tx" 0.394 0.328 4 -6.362 0 0.0361 0.706 0 0.113 0.391 87.953 200192 5 "spotify:track:21vCVeinc9agpAM7scu3Tx" "https://api.spotify.com/v1/audio-analysis/21vCVeinc9agpAM7scu3Tx"
"39" "7mESON5Whhsh90FFtRNtyc" 0.673 0.68 5 -5.465 0 0.0334 0.0956 0 0.102 0.755 127.015 181520 4 "spotify:track:7mESON5Whhsh90FFtRNtyc" "https://api.spotify.com/v1/audio-analysis/7mESON5Whhsh90FFtRNtyc"
"40" "2Y7rSqqdWRPe7SMrkIbvev" 0.579 0.155 11 -10.498 1 0.0332 0.938 0.000108 0.0923 0.284 147.669 171253 3 "spotify:track:2Y7rSqqdWRPe7SMrkIbvev" "https://api.spotify.com/v1/audio-analysis/2Y7rSqqdWRPe7SMrkIbvev"
"41" "4YJU2rtkZU8bX11z7mT7Lq" 0.683 0.862 9 -5.423 0 0.0513 0.00574 0 0.0793 0.35 129.952 168500 4 "spotify:track:4YJU2rtkZU8bX11z7mT7Lq" "https://api.spotify.com/v1/audio-analysis/4YJU2rtkZU8bX11z7mT7Lq"
"42" "2zOMdIeVTwdTf9WWjgJaTe" 0.582 0.282 0 -9.229 1 0.0316 0.793 2.01e-06 0.0744 0.278 118.019 204293 4 "spotify:track:2zOMdIeVTwdTf9WWjgJaTe" "https://api.spotify.com/v1/audio-analysis/2zOMdIeVTwdTf9WWjgJaTe"
"43" "5oZ1gpD3cRRbK17ZeE5Od3" 0.357 0.514 1 -8.364 1 0.0318 0.168 0 0.16 0.584 106.431 241693 4 "spotify:track:5oZ1gpD3cRRbK17ZeE5Od3" "https://api.spotify.com/v1/audio-analysis/5oZ1gpD3cRRbK17ZeE5Od3"
"44" "6xPqAPvg2wCGyZVh0eT59I" 0.732 0.891 3 -4.066 0 0.0358 0.0548 0.000667 0.098 0.736 123.998 160645 4 "spotify:track:6xPqAPvg2wCGyZVh0eT59I" "https://api.spotify.com/v1/audio-analysis/6xPqAPvg2wCGyZVh0eT59I"
"45" "0rJzsc89WVFLnFEeksmOZO" 0.61 0.827 9 -4.266 0 0.0302 0.0256 0 0.157 0.553 105.991 177387 4 "spotify:track:0rJzsc89WVFLnFEeksmOZO" "https://api.spotify.com/v1/audio-analysis/0rJzsc89WVFLnFEeksmOZO"
"46" "3VRxFM7wiJYKNHvouPZhaH" 0.597 0.881 11 -5.23 0 0.119 0.15 0 0.16 0.295 147.042 112245 4 "spotify:track:3VRxFM7wiJYKNHvouPZhaH" "https://api.spotify.com/v1/audio-analysis/3VRxFM7wiJYKNHvouPZhaH"
"47" "6YncqmedVvCMgUB1MLTPOK" 0.633 0.358 0 -10.313 1 0.0329 0.171 3.75e-05 0.117 0.0887 87.924 177787 4 "spotify:track:6YncqmedVvCMgUB1MLTPOK" "https://api.spotify.com/v1/audio-analysis/6YncqmedVvCMgUB1MLTPOK"
